Nota1, Nota2, Nota3, Nota4, Promedio
8, 6, 61, 15, 22.5, 
9, 8, 94, 17, 32.0, 
4, 5, 78, 14, 25.25, 
9, 8, 93, 13, 30.75, 
10, 10, 55, 13, 22.0, 
5, 10, 91, 17, 30.75, 
5, 8, 93, 17, 30.75, 
10, 5, 61, 19, 23.75, 
10, 8, 93, 14, 31.25, 
4, 10, 41, 19, 18.5, 
9, 10, 93, 13, 31.25, 
4, 6, 41, 15, 16.5, 
7, 4, 73, 17, 25.25, 
6, 7, 82, 13, 27.0, 
6, 5, 41, 19, 17.75, 
10, 4, 40, 18, 18.0, 
10, 9, 77, 20, 29.0, 
5, 5, 66, 20, 24.0, 
10, 5, 93, 18, 31.5, 
8, 9, 85, 13, 28.75, 
5, 4, 92, 14, 28.75, 
5, 7, 53, 20, 21.25, 
8, 5, 69, 19, 25.25, 
8, 5, 59, 20, 23.0, 
7, 8, 70, 20, 26.25, 
6, 10, 98, 17, 32.75, 
6, 5, 44, 16, 17.75, 
10, 7, 58, 19, 23.5, 
7, 4, 72, 16, 24.75, 
8, 4, 82, 15, 27.25, 
8, 8, 53, 14, 20.75, 
8, 10, 58, 16, 23.0, 
7, 10, 53, 18, 22.0, 
4, 4, 90, 19, 29.25, 
6, 8, 50, 18, 20.5, 
6, 9, 48, 20, 20.75, 
8, 7, 90, 15, 30.0, 
4, 10, 60, 17, 22.75, 
7, 9, 96, 20, 33.0, 
4, 4, 45, 18, 17.75, 
4, 5, 62, 20, 22.75, 
8, 8, 99, 15, 32.5, 
7, 4, 51, 17, 19.75, 
7, 8, 41, 17, 18.25, 
6, 6, 70, 18, 25.0, 
6, 6, 82, 20, 28.5, 
9, 9, 59, 13, 22.5, 
10, 4, 42, 19, 18.75, 
10, 4, 41, 16, 17.75, 
4, 8, 71, 16, 24.75, 
6, 10, 87, 14, 29.25, 
6, 4, 78, 14, 25.5, 
4, 9, 46, 15, 18.5, 
8, 7, 73, 18, 26.5, 
10, 6, 53, 18, 21.75, 
8, 6, 71, 17, 25.5, 
9, 6, 52, 20, 21.75, 
5, 8, 48, 19, 20.0, 
5, 6, 90, 13, 28.5, 
8, 5, 66, 16, 23.75, 
6, 5, 41, 13, 16.25, 
4, 6, 51, 19, 20.0, 
5, 5, 84, 17, 27.75, 
10, 4, 71, 16, 25.25, 
9, 8, 80, 20, 29.25, 
8, 4, 81, 13, 26.5, 
9, 6, 44, 19, 19.5, 
10, 9, 70, 18, 26.75, 
10, 4, 77, 19, 27.5, 
9, 5, 73, 15, 25.5, 
9, 4, 76, 20, 27.25, 
6, 4, 56, 16, 20.5, 
7, 4, 95, 16, 30.5, 
4, 9, 100, 16, 32.25, 
6, 8, 50, 19, 20.75, 
10, 10, 78, 16, 28.5, 
5, 7, 61, 15, 22.0, 
5, 8, 45, 20, 19.5, 
6, 4, 94, 16, 30.0, 
9, 7, 72, 17, 26.25, 
7, 6, 49, 16, 19.5, 
9, 8, 80, 16, 28.25, 
8, 7, 83, 17, 28.75, 
6, 6, 100, 17, 32.25, 
4, 4, 76, 17, 25.25, 
8, 7, 85, 13, 28.25, 
9, 7, 46, 17, 19.75, 
8, 4, 99, 16, 31.75, 
6, 10, 89, 18, 30.75, 
5, 9, 94, 14, 30.5, 
10, 7, 50, 16, 20.75, 
10, 9, 42, 20, 20.25, 
9, 9, 40, 16, 18.5, 
8, 6, 92, 20, 31.5, 
9, 4, 80, 17, 27.5, 
7, 4, 63, 17, 22.75, 
8, 6, 47, 13, 18.5, 
7, 7, 43, 14, 17.75, 
9, 4, 98, 20, 32.75, 
7, 4, 74, 13, 24.5, 
6, 7, 50, 17, 20.0, 
4, 10, 68, 19, 25.25, 
6, 9, 83, 15, 28.25, 
7, 7, 89, 16, 29.75, 
7, 7, 63, 15, 23.0, 
8, 9, 64, 14, 23.75, 
5, 4, 99, 17, 31.25, 
6, 5, 51, 20, 20.5, 
9, 9, 79, 20, 29.25, 
9, 5, 95, 16, 31.25, 
5, 10, 88, 15, 29.5, 
10, 9, 59, 20, 24.5, 
5, 9, 58, 17, 22.25, 
9, 6, 68, 15, 24.5, 
7, 10, 70, 13, 25.0, 
8, 6, 100, 20, 33.5, 
8, 4, 81, 18, 27.75, 
8, 5, 73, 17, 25.75, 
8, 8, 68, 15, 24.75, 
5, 10, 50, 15, 20.0, 
10, 4, 54, 17, 21.25, 
5, 6, 80, 19, 27.5, 
8, 10, 59, 20, 24.25, 
6, 5, 58, 14, 20.75, 
6, 6, 83, 19, 28.5, 
7, 10, 64, 14, 23.75, 
10, 5, 79, 13, 26.75, 
8, 7, 92, 20, 31.75, 
9, 10, 40, 19, 19.5, 
4, 5, 60, 20, 22.25, 
5, 6, 71, 15, 24.25, 
4, 4, 66, 17, 22.75, 
4, 9, 43, 13, 17.25, 
9, 8, 50, 15, 20.5, 
8, 7, 50, 20, 21.25, 
5, 10, 78, 18, 27.75, 
8, 8, 78, 14, 27.0, 
8, 10, 50, 14, 20.5, 
7, 6, 41, 14, 17.0, 
6, 8, 86, 16, 29.0, 
6, 5, 98, 16, 31.25, 
4, 8, 96, 19, 31.75, 
4, 5, 52, 13, 18.5, 
7, 4, 72, 19, 25.5, 
10, 8, 61, 19, 24.5, 
6, 7, 94, 17, 31.0, 
5, 7, 74, 17, 25.75, 
9, 4, 47, 14, 18.5, 
7, 7, 93, 16, 30.75, 
5, 6, 58, 14, 20.75, 
7, 6, 65, 13, 22.75, 
9, 4, 45, 16, 18.5, 
7, 10, 58, 17, 23.0, 
9, 9, 49, 15, 20.5, 
6, 5, 54, 18, 20.75, 
5, 6, 55, 15, 20.25, 
5, 10, 79, 18, 28.0, 
9, 5, 88, 20, 30.5, 
6, 8, 75, 14, 25.75, 
4, 5, 56, 18, 20.75, 
6, 9, 68, 16, 24.75, 
10, 4, 52, 16, 20.5, 
9, 4, 64, 14, 22.75, 
7, 6, 75, 18, 26.5, 
5, 8, 64, 15, 23.0, 
8, 9, 100, 17, 33.5, 
5, 5, 42, 18, 17.5, 
10, 8, 100, 16, 33.5, 
4, 7, 89, 14, 28.5, 
4, 5, 50, 20, 19.75, 
6, 6, 55, 16, 20.75, 
10, 8, 49, 20, 21.75, 
9, 6, 50, 13, 19.5, 
8, 9, 82, 17, 29.0, 
5, 5, 92, 18, 30.0, 
10, 6, 48, 19, 20.75, 
5, 5, 96, 13, 29.75, 
4, 8, 72, 16, 25.0, 
8, 9, 77, 19, 28.25, 
7, 5, 40, 13, 16.25, 
7, 8, 98, 18, 32.75, 
6, 10, 94, 14, 31.0, 
8, 5, 99, 17, 32.25, 
5, 9, 49, 16, 19.75, 
10, 7, 56, 14, 21.75, 
5, 6, 88, 17, 29.0, 
6, 9, 41, 14, 17.5, 
8, 9, 43, 13, 18.25, 
5, 9, 73, 16, 25.75, 
8, 7, 86, 18, 29.75, 
10, 5, 76, 13, 26.0, 
7, 7, 68, 13, 23.75, 
8, 8, 94, 16, 31.5, 
7, 5, 89, 14, 28.75, 
6, 10, 43, 19, 19.5, 
9, 4, 74, 18, 26.25, 
7, 5, 77, 20, 27.25, 
7, 8, 62, 18, 23.75, 
5, 4, 53, 14, 19.0, 
10, 5, 55, 18, 22.0, 
7, 10, 49, 20, 21.5, 
5, 4, 74, 17, 25.0, 
8, 8, 95, 13, 31.0, 
8, 6, 71, 17, 25.5, 
7, 10, 73, 20, 27.5, 
6, 4, 87, 18, 28.75, 
7, 8, 72, 16, 25.75, 
8, 10, 87, 19, 31.0, 
5, 7, 92, 17, 30.25, 
10, 4, 76, 16, 26.5, 
9, 7, 60, 15, 22.75, 
6, 6, 100, 16, 32.0, 
10, 4, 41, 15, 17.5, 
9, 6, 55, 15, 21.25, 
10, 9, 88, 16, 30.75, 
9, 5, 91, 17, 30.5, 
7, 10, 95, 17, 32.25, 
8, 10, 69, 20, 26.75, 
5, 5, 40, 19, 17.25, 
7, 6, 81, 16, 27.5, 
7, 6, 98, 17, 32.0, 
6, 8, 52, 17, 20.75, 
6, 6, 70, 19, 25.25, 
10, 8, 52, 15, 21.25, 
9, 4, 48, 15, 19.0, 
4, 9, 73, 15, 25.25, 
4, 5, 93, 14, 29.0, 
5, 6, 49, 13, 18.25, 
10, 7, 71, 17, 26.25, 
4, 10, 76, 18, 27.0, 
9, 5, 87, 19, 30.0, 
10, 5, 52, 19, 21.5, 
7, 5, 92, 15, 29.75, 
8, 4, 86, 16, 28.5, 
6, 5, 45, 19, 18.75, 
4, 9, 45, 19, 19.25, 
10, 7, 53, 14, 21.0, 
4, 10, 95, 14, 30.75, 
9, 8, 88, 20, 31.25, 
9, 4, 98, 19, 32.5, 
7, 6, 42, 16, 17.75, 
10, 9, 40, 14, 18.25, 
4, 10, 89, 19, 30.5, 
10, 7, 90, 19, 31.5, 
10, 10, 65, 18, 25.75, 
7, 9, 64, 16, 24.0, 
7, 4, 78, 13, 25.5, 
6, 7, 79, 17, 27.25, 
4, 10, 65, 20, 24.75, 
7, 5, 70, 13, 23.75, 
7, 9, 75, 16, 26.75, 
9, 9, 70, 19, 26.75, 
6, 9, 66, 17, 24.5, 
10, 4, 85, 20, 29.75, 
7, 9, 49, 15, 20.0, 
6, 5, 92, 17, 30.0, 
4, 10, 76, 13, 25.75, 
5, 10, 91, 13, 29.75, 
6, 6, 68, 17, 24.25, 
6, 8, 48, 13, 18.75, 
4, 4, 45, 18, 17.75, 
10, 4, 94, 19, 31.75, 
6, 7, 46, 14, 18.25, 
5, 8, 50, 18, 20.25, 
4, 10, 74, 14, 25.5, 
6, 6, 76, 20, 27.0, 
9, 8, 55, 19, 22.75, 
9, 10, 71, 15, 26.25, 
9, 10, 44, 20, 20.75, 
9, 7, 52, 18, 21.5, 
8, 7, 100, 13, 32.0, 
5, 8, 76, 15, 26.0, 
10, 6, 74, 15, 26.25, 
10, 8, 64, 15, 24.25, 
7, 10, 69, 13, 24.75, 
6, 8, 79, 15, 27.0, 
10, 7, 44, 17, 19.5, 
10, 6, 64, 18, 24.5, 
9, 6, 54, 18, 21.75, 
5, 6, 50, 16, 19.25, 
4, 5, 77, 18, 26.0, 
4, 10, 80, 13, 26.75, 
8, 4, 86, 17, 28.75, 
8, 9, 48, 13, 19.5, 
7, 4, 91, 15, 29.25, 
8, 6, 74, 14, 25.5, 
10, 6, 64, 15, 23.75, 
5, 6, 69, 16, 24.0, 
7, 8, 95, 20, 32.5, 
7, 4, 99, 13, 30.75, 
10, 10, 83, 13, 29.0, 
4, 8, 64, 18, 23.5, 
10, 7, 87, 13, 29.25, 
4, 9, 87, 17, 29.25, 
7, 9, 86, 14, 29.0, 
8, 10, 60, 19, 24.25, 
4, 9, 51, 14, 19.5, 
8, 4, 45, 16, 18.25, 
10, 4, 100, 19, 33.25, 
4, 6, 81, 16, 26.75, 
6, 9, 78, 18, 27.75, 
9, 9, 62, 15, 23.75, 
8, 5, 61, 15, 22.25, 
8, 10, 50, 15, 20.75, 
10, 6, 49, 14, 19.75, 
9, 9, 72, 18, 27.0, 
8, 8, 93, 13, 30.5, 
8, 4, 64, 17, 23.25, 
7, 5, 60, 19, 22.75, 
5, 4, 98, 20, 31.75, 
6, 7, 48, 20, 20.25, 
5, 8, 43, 16, 18.0, 
5, 9, 69, 17, 25.0, 
8, 6, 59, 18, 22.75, 
9, 8, 100, 16, 33.25, 
4, 5, 51, 20, 20.0, 
7, 8, 49, 16, 20.0, 
6, 8, 84, 16, 28.5, 
5, 9, 40, 13, 16.75, 
4, 10, 95, 20, 32.25, 
10, 7, 64, 13, 23.5, 
10, 10, 53, 14, 21.75, 
9, 7, 61, 17, 23.5, 
7, 10, 44, 14, 18.75, 
9, 5, 54, 13, 20.25, 
7, 8, 41, 14, 17.5, 
9, 5, 83, 15, 28.0, 
8, 8, 71, 13, 25.0, 
6, 7, 54, 14, 20.25, 
8, 9, 61, 18, 24.0, 
5, 7, 49, 15, 19.0, 
4, 4, 95, 13, 29.0, 
9, 8, 80, 19, 29.0, 
5, 5, 49, 19, 19.5, 
5, 4, 53, 19, 20.25, 
6, 9, 41, 14, 17.5, 
9, 7, 60, 14, 22.5, 
4, 6, 93, 19, 30.5, 
6, 10, 70, 14, 25.0, 
10, 7, 89, 14, 30.0, 
6, 6, 84, 13, 27.25, 
5, 4, 40, 14, 15.75, 
7, 9, 51, 20, 21.75, 
8, 9, 88, 18, 30.75, 
6, 10, 66, 20, 25.5, 
5, 8, 78, 17, 27.0, 
4, 5, 57, 16, 20.5, 
9, 9, 65, 19, 25.5, 
10, 10, 98, 14, 33.0, 
5, 9, 96, 13, 30.75, 
4, 6, 81, 19, 27.5, 
9, 7, 51, 17, 21.0, 
9, 7, 94, 20, 32.5, 
7, 10, 54, 14, 21.25, 
10, 8, 78, 15, 27.75, 
9, 8, 79, 14, 27.5, 
10, 6, 92, 17, 31.25, 
9, 4, 94, 20, 31.75, 
9, 8, 64, 15, 24.0, 
5, 6, 43, 18, 18.0, 
7, 5, 89, 20, 30.25, 
4, 10, 95, 16, 31.25, 
6, 4, 89, 14, 28.25, 
6, 8, 75, 14, 25.75, 
5, 7, 69, 17, 24.5, 
7, 8, 97, 13, 31.25, 
4, 5, 87, 17, 28.25, 
7, 10, 44, 20, 20.25, 
10, 5, 96, 20, 32.75, 
8, 5, 57, 18, 22.0, 
8, 9, 56, 19, 23.0, 
8, 7, 63, 15, 23.25, 
4, 10, 90, 20, 31.0, 
9, 10, 48, 13, 20.0, 
4, 7, 45, 15, 17.75, 
8, 6, 94, 17, 31.25, 
6, 6, 68, 20, 25.0, 
8, 9, 49, 13, 19.75, 
9, 10, 81, 18, 29.5, 
10, 6, 86, 18, 30.0, 
7, 10, 63, 17, 24.25, 
10, 9, 90, 20, 32.25, 
5, 9, 98, 18, 32.5, 
9, 4, 66, 19, 24.5, 
10, 4, 92, 15, 30.25, 
9, 4, 54, 13, 20.0, 
7, 7, 78, 13, 26.25, 
8, 6, 92, 20, 31.5, 
4, 9, 61, 20, 23.5, 
6, 6, 75, 13, 25.0, 
4, 7, 71, 16, 24.5, 
9, 7, 77, 19, 28.0, 
9, 8, 86, 14, 29.25, 
7, 10, 59, 20, 24.0, 
6, 5, 94, 14, 29.75, 
4, 9, 60, 18, 22.75, 
6, 6, 77, 20, 27.25, 
10, 10, 70, 20, 27.5, 
6, 4, 67, 16, 23.25, 
8, 7, 85, 13, 28.25, 
7, 9, 84, 20, 30.0, 
6, 9, 98, 17, 32.5, 
10, 4, 45, 17, 19.0, 
4, 5, 56, 19, 21.0, 
6, 6, 51, 16, 19.75, 
4, 7, 73, 15, 24.75, 
7, 10, 67, 18, 25.5, 
5, 7, 87, 19, 29.5, 
6, 6, 80, 16, 27.0, 
6, 8, 57, 18, 22.25, 
9, 4, 70, 19, 25.5, 
7, 6, 90, 17, 30.0, 
8, 7, 66, 17, 24.5, 
10, 6, 99, 17, 33.0, 
10, 5, 94, 19, 32.0, 
7, 5, 58, 20, 22.5, 
7, 5, 53, 13, 19.5, 
4, 9, 62, 19, 23.5, 
9, 10, 75, 18, 28.0, 
9, 6, 72, 19, 26.5, 
8, 8, 58, 15, 22.25, 
7, 9, 67, 14, 24.25, 
4, 10, 58, 16, 22.0, 
8, 7, 61, 19, 23.75, 
10, 9, 54, 19, 23.0, 
9, 5, 79, 16, 27.25, 
9, 5, 91, 18, 30.75, 
10, 4, 87, 17, 29.5, 
6, 10, 53, 13, 20.5, 
4, 10, 94, 16, 31.0, 
4, 10, 63, 16, 23.25, 
4, 4, 84, 19, 27.75, 
9, 10, 96, 18, 33.25, 
8, 4, 92, 18, 30.5, 
7, 9, 51, 14, 20.25, 
7, 6, 78, 18, 27.25, 
5, 7, 47, 17, 19.0, 
4, 5, 83, 15, 26.75, 
5, 10, 64, 14, 23.25, 
7, 6, 100, 13, 31.5, 
10, 4, 47, 19, 20.0, 
6, 8, 94, 18, 31.5, 
5, 9, 65, 15, 23.5, 
9, 10, 78, 20, 29.25, 
4, 7, 86, 15, 28.0, 
6, 10, 75, 19, 27.5, 
4, 6, 48, 13, 17.75, 
10, 5, 91, 17, 30.75, 
9, 6, 70, 13, 24.5, 
9, 8, 41, 14, 18.0, 
6, 8, 54, 15, 20.75, 
7, 10, 64, 20, 25.25, 
7, 7, 72, 15, 25.25, 
6, 5, 90, 15, 29.0, 
8, 6, 66, 17, 24.25, 
6, 10, 97, 20, 33.25, 
5, 8, 64, 13, 22.5, 
4, 10, 53, 20, 21.75, 
5, 5, 71, 19, 25.0, 
6, 5, 51, 20, 20.5, 
6, 5, 91, 18, 30.0, 
4, 6, 54, 17, 20.25, 
6, 10, 43, 17, 19.0, 
10, 8, 81, 18, 29.25, 
5, 5, 42, 13, 16.25, 
4, 9, 63, 13, 22.25, 
8, 4, 46, 17, 18.75, 
8, 7, 95, 20, 32.5, 
8, 10, 84, 13, 28.75, 
4, 6, 97, 20, 31.75, 
6, 6, 88, 17, 29.25, 
7, 7, 86, 15, 28.75, 
9, 4, 73, 19, 26.25, 
4, 6, 75, 20, 26.25, 
4, 4, 43, 13, 16.0, 
10, 8, 56, 14, 22.0, 
7, 4, 69, 13, 23.25, 
6, 10, 84, 19, 29.75, 
9, 10, 94, 13, 31.5, 
8, 5, 52, 20, 21.25, 
9, 7, 95, 20, 32.75, 
8, 9, 98, 15, 32.5, 
5, 8, 67, 16, 24.0, 
9, 4, 49, 18, 20.0, 
10, 9, 43, 17, 19.75, 
8, 5, 66, 19, 24.5, 
7, 4, 51, 20, 20.5, 
10, 4, 59, 16, 22.25, 
5, 7, 56, 15, 20.75, 
4, 10, 93, 18, 31.25, 
5, 5, 52, 13, 18.75, 
7, 6, 47, 19, 19.75, 
7, 4, 72, 14, 24.25, 
5, 6, 56, 15, 20.5, 
5, 4, 47, 13, 17.25, 
8, 8, 73, 17, 26.5, 
10, 9, 43, 19, 20.25, 
9, 7, 53, 17, 21.5, 
9, 5, 64, 16, 23.5, 
7, 4, 54, 18, 20.75, 
6, 10, 43, 14, 18.25, 
8, 10, 84, 15, 29.25, 
5, 5, 78, 17, 26.25, 
7, 8, 73, 20, 27.0, 
5, 7, 43, 20, 18.75, 
5, 4, 79, 18, 26.5, 
7, 8, 78, 16, 27.25, 
5, 8, 85, 14, 28.0, 
5, 10, 94, 20, 32.25, 
8, 10, 41, 17, 19.0, 
10, 5, 53, 16, 21.0, 
8, 5, 66, 17, 24.0, 
9, 5, 84, 18, 29.0, 
10, 4, 46, 14, 18.5, 
10, 6, 74, 13, 25.75, 
9, 10, 53, 16, 22.0, 
5, 8, 95, 15, 30.75, 
4, 6, 52, 18, 20.0, 
5, 4, 88, 19, 29.0, 
6, 4, 99, 20, 32.25, 
6, 9, 43, 13, 17.75, 
6, 9, 99, 13, 31.75, 
8, 4, 52, 15, 19.75, 
10, 10, 57, 14, 22.75, 
7, 4, 58, 15, 21.0, 
9, 8, 42, 14, 18.25, 
7, 8, 44, 19, 19.5, 
8, 10, 91, 20, 32.25, 
10, 4, 40, 18, 18.0, 
6, 4, 84, 19, 28.25, 
7, 6, 65, 19, 24.25, 
7, 5, 42, 18, 18.0, 
4, 8, 75, 15, 25.5, 
8, 9, 40, 19, 19.0, 
9, 8, 47, 17, 20.25, 
9, 6, 50, 20, 21.25, 
5, 9, 89, 16, 29.75, 
9, 6, 84, 18, 29.25, 
5, 7, 44, 18, 18.5, 
7, 8, 73, 17, 26.25, 
4, 4, 98, 20, 31.5, 
7, 4, 81, 20, 28.0, 
6, 6, 43, 19, 18.5, 
5, 8, 44, 14, 17.75, 
8, 5, 89, 17, 29.75, 
4, 7, 47, 20, 19.5, 
7, 10, 52, 17, 21.5, 
9, 4, 90, 16, 29.75, 
8, 10, 97, 13, 32.0, 
8, 6, 80, 16, 27.5, 
8, 5, 95, 13, 30.25, 
7, 8, 46, 13, 18.5, 
6, 7, 76, 16, 26.25, 
8, 9, 95, 13, 31.25, 
6, 10, 83, 15, 28.5, 
5, 10, 46, 17, 19.5, 
7, 7, 50, 15, 19.75, 
8, 6, 78, 16, 27.0, 
9, 6, 96, 19, 32.5, 
4, 10, 76, 20, 27.5, 
8, 4, 71, 20, 25.75, 
5, 7, 69, 18, 24.75, 
8, 10, 44, 16, 19.5, 
9, 7, 59, 20, 23.75, 
6, 5, 42, 18, 17.75, 
4, 8, 77, 16, 26.25, 
8, 5, 46, 17, 19.0, 
4, 10, 47, 17, 19.5, 
9, 10, 71, 16, 26.5, 
5, 9, 54, 18, 21.5, 
7, 5, 99, 20, 32.75, 
6, 6, 66, 20, 24.5, 
9, 8, 93, 14, 31.0, 
9, 4, 79, 18, 27.5, 
9, 8, 98, 14, 32.25, 
9, 8, 67, 19, 25.75, 
7, 4, 79, 19, 27.25, 
5, 7, 68, 16, 24.0, 
8, 10, 63, 18, 24.75, 
9, 8, 54, 18, 22.25, 
6, 7, 95, 19, 31.75, 
7, 9, 67, 16, 24.75, 
5, 10, 75, 19, 27.25, 
4, 7, 56, 14, 20.25, 
5, 10, 47, 17, 19.75, 
4, 7, 80, 14, 26.25, 
6, 8, 82, 16, 28.0, 
5, 7, 57, 14, 20.75, 
7, 10, 41, 13, 17.75, 
8, 7, 71, 19, 26.25, 
9, 4, 72, 18, 25.75, 
4, 4, 53, 15, 19.0, 
6, 7, 40, 20, 18.25, 
4, 8, 60, 14, 21.5, 
8, 4, 59, 19, 22.5, 
9, 5, 78, 17, 27.25, 
5, 4, 42, 13, 16.0, 
9, 8, 96, 14, 31.75, 
4, 10, 83, 15, 28.0, 
7, 4, 66, 19, 24.0, 
7, 4, 91, 13, 28.75, 
6, 5, 96, 17, 31.0, 
6, 9, 50, 13, 19.5, 
6, 9, 58, 13, 21.5, 
10, 7, 99, 20, 34.0, 
7, 4, 52, 20, 20.75, 
5, 10, 75, 14, 26.0, 
4, 5, 93, 18, 30.0, 
5, 6, 70, 17, 24.5, 
10, 9, 74, 20, 28.25, 
5, 10, 50, 13, 19.5, 
4, 9, 65, 15, 23.25, 
4, 7, 43, 13, 16.75, 
9, 4, 53, 20, 21.5, 
4, 9, 40, 18, 17.75, 
8, 10, 62, 18, 24.5, 
8, 10, 83, 20, 30.25, 
9, 4, 40, 18, 17.75, 
5, 7, 74, 14, 25.0, 
10, 9, 44, 18, 20.25, 
10, 6, 80, 17, 28.25, 
7, 4, 43, 15, 17.25, 
5, 10, 52, 15, 20.5, 
9, 8, 97, 15, 32.25, 
7, 4, 73, 16, 25.0, 
8, 5, 92, 14, 29.75, 
9, 6, 55, 14, 21.0, 
8, 5, 88, 15, 29.0, 
5, 8, 82, 14, 27.25, 
5, 8, 66, 19, 24.5, 
6, 9, 81, 17, 28.25, 
9, 10, 75, 15, 27.25, 
5, 4, 58, 18, 21.25, 
9, 10, 66, 20, 26.25, 
9, 8, 60, 16, 23.25, 
5, 6, 75, 20, 26.5, 
10, 6, 63, 15, 23.5, 
9, 7, 57, 14, 21.75, 
8, 5, 42, 15, 17.5, 
6, 10, 56, 16, 22.0, 
6, 5, 84, 19, 28.5, 
5, 6, 54, 18, 20.75, 
9, 5, 86, 17, 29.25, 
4, 8, 56, 19, 21.75, 
5, 4, 42, 16, 16.75, 
5, 6, 95, 19, 31.25, 
7, 10, 55, 20, 23.0, 
6, 7, 54, 19, 21.5, 
9, 10, 66, 17, 25.5, 
10, 5, 87, 16, 29.5, 
7, 7, 89, 17, 30.0, 
6, 10, 77, 19, 28.0, 
9, 9, 97, 13, 32.0, 
7, 6, 56, 18, 21.75, 
9, 9, 84, 16, 29.5, 
7, 8, 79, 20, 28.5, 
7, 10, 64, 14, 23.75, 
8, 6, 70, 18, 25.5, 
10, 7, 48, 19, 21.0, 
5, 6, 90, 19, 30.0, 
4, 10, 50, 15, 19.75, 
6, 6, 41, 16, 17.25, 
4, 6, 74, 15, 24.75, 
7, 7, 58, 18, 22.5, 
8, 8, 62, 16, 23.5, 
6, 9, 100, 17, 33.0, 
5, 7, 90, 15, 29.25, 
4, 6, 47, 19, 19.0, 
5, 4, 85, 18, 28.0, 
5, 7, 64, 19, 23.75, 
6, 7, 84, 18, 28.75, 
4, 8, 48, 19, 19.75, 
8, 6, 47, 15, 19.0, 
8, 7, 41, 13, 17.25, 
10, 4, 97, 18, 32.25, 
9, 8, 70, 14, 25.25, 
7, 7, 50, 20, 21.0, 
4, 4, 100, 16, 31.0, 
9, 6, 66, 13, 23.5, 
8, 4, 42, 18, 18.0, 
9, 7, 43, 17, 19.0, 
7, 4, 43, 17, 17.75, 
7, 6, 68, 19, 25.0, 
6, 7, 95, 15, 30.75, 
8, 5, 91, 19, 30.75, 
9, 5, 74, 20, 27.0, 
5, 8, 62, 20, 23.75, 
4, 5, 53, 17, 19.75, 
10, 9, 96, 19, 33.5, 
5, 10, 69, 13, 24.25, 
9, 6, 70, 14, 24.75, 
4, 4, 65, 14, 21.75, 
5, 6, 99, 15, 31.25, 
5, 8, 55, 17, 21.25, 
4, 10, 88, 13, 28.75, 
5, 7, 45, 16, 18.25, 
8, 9, 45, 14, 19.0, 
4, 10, 73, 17, 26.0, 
9, 4, 98, 15, 31.5, 
10, 10, 49, 16, 21.25, 
7, 4, 69, 20, 25.0, 
8, 5, 49, 15, 19.25, 
8, 6, 52, 13, 19.75, 
6, 10, 99, 20, 33.75, 
7, 9, 49, 18, 20.75, 
5, 8, 83, 18, 28.5, 
7, 8, 66, 20, 25.25, 
8, 4, 99, 16, 31.75, 
7, 8, 48, 16, 19.75, 
8, 7, 92, 19, 31.5, 
5, 10, 55, 15, 21.25, 
8, 10, 75, 15, 27.0, 
4, 7, 46, 17, 18.5, 
10, 10, 73, 15, 27.0, 
10, 5, 57, 14, 21.5, 
9, 5, 57, 16, 21.75, 
